name,price,description,category,subcategory,shop,image
Curtain 256,3279,High quality Curtain from Home,Home,Curtain,Super Store,products/default.jpg
Toothpaste 503,794,High quality Toothpaste from Daily Needs,Daily Needs,Toothpaste,Super Store,products/default.jpg
Mobile 265,3263,High quality Mobile from Electronics,Electronics,Mobile,Urban Grocery,products/default.jpg
Pillow 554,2496,High quality Pillow from Home,Home,Pillow,Super Store,products/default.jpg
Namkeen 387,3483,High quality Namkeen from Snacks,Snacks,Namkeen,Urban Grocery,products/default.jpg
Tea 308,1120,High quality Tea from Beverages,Beverages,Tea,Urban Grocery,products/default.jpg
Bed Sheet 179,4569,High quality Bed Sheet from Home,Home,Bed Sheet,Fresh Mart,products/default.jpg
Yogurt 552,4625,High quality Yogurt from Dairy,Dairy,Yogurt,Green Basket,products/default.jpg
Onion 465,3808,High quality Onion from Vegetables,Vegetables,Onion,Super Store,products/default.jpg
Table 179,4926,High quality Table from Home,Home,Table,Urban Grocery,products/default.jpg
Jacket 218,3300,High quality Jacket from Clothing,Clothing,Jacket,Fresh Mart,products/default.jpg
Cheese 466,290,High quality Cheese from Dairy,Dairy,Cheese,Fresh Mart,products/default.jpg
Shirt 304,3167,High quality Shirt from Clothing,Clothing,Shirt,Green Basket,products/default.jpg
Mobile 53,4010,High quality Mobile from Electronics,Electronics,Mobile,Mega Mart,products/default.jpg
Paneer 409,4969,High quality Paneer from Dairy,Dairy,Paneer,Green Basket,products/default.jpg
Eraser 445,4377,High quality Eraser from Stationery,Stationery,Eraser,Fresh Mart,products/default.jpg
Butter 77,2049,High quality Butter from Dairy,Dairy,Butter,Mega Mart,products/default.jpg
Jacket 17,634,High quality Jacket from Clothing,Clothing,Jacket,Super Store,products/default.jpg
Grapes 883,1850,High quality Grapes from Fruits,Fruits,Grapes,Quick Shop,products/default.jpg
Shirt 233,1070,High quality Shirt from Clothing,Clothing,Shirt,Smart Shop,products/default.jpg
Coffee 757,2302,High quality Coffee from Beverages,Beverages,Coffee,Fresh Mart,products/default.jpg
Table 603,4962,High quality Table from Home,Home,Table,Super Store,products/default.jpg
Orange 817,4459,High quality Orange from Fruits,Fruits,Orange,Super Store,products/default.jpg
Biscuit 340,4803,High quality Biscuit from Bakery,Bakery,Biscuit,Mega Mart,products/default.jpg
Cake 869,3874,High quality Cake from Bakery,Bakery,Cake,Daily Needs Store,products/default.jpg
